,Unnamed: 0,File_Name,rank,Rank_Diff,Time,SSIM,PSNR
1292,1292,"ILSVRC2012_val_00033354.8_15,10.j2k",325,-324,6.328161167999498,0.6858418381771576,12.030943016132758
1293,1293,"ILSVRC2012_val_00048820.8_100,20,10.j2k",39,-21,6.362042511000254,0.6476527054063276,13.59456744821407
1294,1294,ILSVRC2012_val_00048800.4_200.j2k,387,-387,6.326863730999321,0.451182081659193,12.980286834912878
1295,1295,ILSVRC2012_val_00000067.4_25.j2k,0,0,6.3367885280003975,0.6530237766737307,11.537532702562904
1296,1296,ILSVRC2012_val_00005581.2_15.j2k,0,0,6.452758352999807,0.8894030054097791,15.779592761712607
1297,1297,ILSVRC2012_val_00029932.8_15.j2k,33,-33,6.505776384001365,0.5800952120513485,12.278494877345052
1298,1298,ILSVRC2012_val_00043120.2_25.j2k,0,0,6.3759808610011515,0.7239260104102048,12.028299181771267
1299,1299,"ILSVRC2012_val_00002625.1_15,10.j2k",0,0,6.393891260000602,0.6445721590455287,12.85119547523988
1300,1300,"ILSVRC2012_val_00030069.8_25,20,10.j2k",48,-48,6.3256045799989815,0.7823873724258621,11.964079782737294
1301,1301,"ILSVRC2012_val_00049370.4_100,20,10.j2k",1,-1,6.34872494100091,0.8865913557210142,14.836761537463408
1302,1302,"ILSVRC2012_val_00048820.4_25,20,10.j2k",10,8,6.3565977170001124,0.6632246925713334,13.596550785103569
1303,1303,"ILSVRC2012_val_00029932.8_50,40.j2k",758,-758,6.306161018999774,0.4275727721482137,11.535798058781793
1304,1304,"ILSVRC2012_val_00043133.4_100,20,10.j2k",0,0,6.382248445999721,0.8396821365533271,12.744708971251626
1305,1305,ILSVRC2012_val_00000067.2_15.j2k,0,0,6.479138197000793,0.6840583362486645,11.680653248076885
1306,1306,"ILSVRC2012_val_00001745.1_25,20,10.j2k",11,0,6.3087789510009324,0.6372331101808321,14.240270925541413
1307,1307,"ILSVRC2012_val_00029932.1_15,10.j2k",0,0,6.3636727329994764,0.5918737700829114,12.777344553078036
1308,1308,"ILSVRC2012_val_00048820.2_100,20,10.j2k",13,5,6.2805777749999825,0.6651631386716536,13.650493319079935
1309,1309,ILSVRC2012_val_00003890.2_15.j2k,35,-17,6.26488738899934,0.710371476829603,12.655742613626526
1310,1310,"ILSVRC2012_val_00048756.4_200,40,20.j2k",3,-2,6.294845202000943,0.6187952934930357,12.455817527754547
1311,1311,"ILSVRC2012_val_00049370.1_15,10.j2k",0,0,6.378048757000215,0.907599594134694,14.906481887543313
1312,1312,ILSVRC2012_val_00000094.2_10.j2k,0,1,6.310092234998593,0.9076156251073332,13.39097765135401
1313,1313,ILSVRC2012_val_00043125.4_100.j2k,3,-3,6.524656899999172,0.7239778680115845,13.09344161144922
1314,1314,"ILSVRC2012_val_00001745.2_25,20.j2k",12,-1,6.314121971001441,0.6224378743483999,14.142789981153946
1315,1315,ILSVRC2012_val_00005581.1_25.j2k,0,0,6.78892174700013,0.8900130646650111,15.818792810090606
1316,1316,"ILSVRC2012_val_00033354.1_10,5.j2k",0,1,6.380531396000151,0.6931359022602387,12.474725767018995
1317,1317,"ILSVRC2012_val_00001358.4_100,20.j2k",161,97,6.292207377999147,0.6388707849888875,15.05919260474026
1318,1318,"ILSVRC2012_val_00028105.2_100,20,10.j2k",0,0,6.280852883000988,0.6244874902924017,12.437513279010027
1319,1319,"ILSVRC2012_val_00000094.2_15,10,1.j2k",0,1,6.313991160001024,0.9131925082235618,13.422683487621756
0,2640,ILSVRC2012_val_00033235.1_25.j2k,1,0,6.401162878999911,0.6688929322824111,11.424372902306681
1,2641,"ILSVRC2012_val_00027986.2_50,40.j2k",0,0,6.545409044000052,0.7679371505882664,13.137499171948896
2,2642,"ILSVRC2012_val_00028105.1_200,40,20.j2k",0,0,6.193889392000075,0.6206484331964969,12.491523391564643
3,2643,"ILSVRC2012_val_00001063.8_25,20.j2k",102,-101,6.112550605000024,0.5711356975698566,12.895521496305921
4,2644,ILSVRC2012_val_00049370.8_50.j2k,82,-82,6.0113188549999,0.5308172255172675,13.591299639981491
5,2645,ILSVRC2012_val_00001745.8_10.j2k,507,-496,7.1493331879999005,0.3395616823519046,12.639812127552796
6,2646,"ILSVRC2012_val_00000597.1_100,20.j2k",1,0,8.729874655999993,0.5319773392863357,13.548027199207988
7,2647,"ILSVRC2012_val_00005196.2_200,40,20.j2k",3,-3,7.4323483940002015,0.7531079310488321,13.14998588953614
8,2648,"ILSVRC2012_val_00033235.2_200,40,20.j2k",1,0,7.498989639000001,0.6708138816780599,11.404801267839401
9,2649,ILSVRC2012_val_00002998.4_25.j2k,0,1,6.532416846999923,0.31347417914991244,15.137645811703198
10,2650,ILSVRC2012_val_00004573.4_10.j2k,388,-326,6.474471372999915,0.6717992772649843,13.54487463975148
11,2651,"ILSVRC2012_val_00032827.8_10,5,1.j2k",26,-26,6.6592377899999065,0.6876251644211197,12.476277637873393
12,2652,"ILSVRC2012_val_00005046.1_100,20,10.j2k",0,0,6.444868560000033,0.6571203514609114,13.197706942250043
13,2653,ILSVRC2012_val_00043133.1_200.j2k,0,0,6.2006088799998915,0.6522044963653912,12.786120157960204
14,2654,"ILSVRC2012_val_00005046.8_200,40.j2k",587,-587,6.1384348110000255,0.4035240385121336,11.549855811274366
15,2655,ILSVRC2012_val_00027986.4_15.j2k,0,0,6.202173193999897,0.7689853737326273,13.082733159231793
16,2656,"ILSVRC2012_val_00000754.8_200,40,20.j2k",12,-12,6.266215741000223,0.3894138193441881,13.792549254424722
17,2657,"ILSVRC2012_val_00027986.4_25,20,10.j2k",0,0,6.618562723999957,0.7716387421716248,13.091312924616055
18,2658,"ILSVRC2012_val_00000754.2_10,5,1.j2k",0,0,6.212652423999997,0.4629870620418864,14.498854962727542
19,2659,ILSVRC2012_val_00043125.4_10.j2k,0,0,6.197719019000032,0.8381181653180867,13.199178075233824
20,2660,"ILSVRC2012_val_00000785.4_100,20.j2k",45,-37,6.237246876999961,0.6028767506072641,12.745007480048326
21,2661,ILSVRC2012_val_00043152.1_100.j2k,0,0,6.244607374999987,0.6144843010257202,14.337098352613125
22,2662,ILSVRC2012_val_00029932.8_100.j2k,677,-677,6.163252387999818,0.23423316246688985,10.96916440132376
23,2663,"ILSVRC2012_val_00000094.2_25,20,10.j2k",0,1,6.2014371870000105,0.9075749622472622,13.392826543293232
24,2664,ILSVRC2012_val_00000067.2_10.j2k,0,0,6.230507851999847,0.7213105261695351,11.718328632247394
25,2665,ILSVRC2012_val_00001063.8_100.j2k,950,-949,6.176068334000092,0.4042704090001077,11.648620410356676
26,2666,"ILSVRC2012_val_00000531.4_100,20,10.j2k",1,0,6.3119261869999255,0.7870003850497977,13.98865756097159
27,2667,"ILSVRC2012_val_00029783.8_50,40,20.j2k",63,-63,6.22609479699986,0.6048578120493593,12.510743640683955
28,2668,"ILSVRC2012_val_00002998.8_200,40.j2k",37,-36,6.239780959999963,0.2528472760415294,14.71264018374776
29,2669,"ILSVRC2012_val_00043120.4_200,40,20.j2k",3,-3,6.275600335000036,0.7365676326901733,11.968214384070857
30,2670,"ILSVRC2012_val_00000517.4_50,40.j2k",1,0,7.885929109000018,0.6606852683632052,11.546601859637988
31,2671,"ILSVRC2012_val_00042652.2_100,20.j2k",78,-51,7.57505885600017,0.3131394974191837,14.978126298633814
32,2672,ILSVRC2012_val_00001358.1_50.j2k,255,3,7.488659512999901,0.6504203165541024,15.434626977411005
33,2673,"ILSVRC2012_val_00043125.1_10,5,1.j2k",0,0,7.422784952000028,0.8426262494300117,13.251302714179143
34,2674,"ILSVRC2012_val_00043120.4_10,5,1.j2k",0,0,7.462992962000043,0.7607752997650474,11.965858455101865
35,2675,"ILSVRC2012_val_00048781.8_200,40,20.j2k",563,-562,6.325887191999983,0.3722316883493538,11.72146593761019
36,2676,"ILSVRC2012_val_00003890.2_50,40.j2k",61,-43,6.614625543000102,0.6698441432395386,12.58484513883901
37,2677,"ILSVRC2012_val_00000597.1_200,40,20.j2k",1,0,8.326726670000197,0.532015908997763,13.54823199686435
38,2678,ILSVRC2012_val_00008526.2_200.j2k,114,-69,7.297703554999997,0.5267938291158631,12.379066183910632
39,2679,ILSVRC2012_val_00001487.2_25.j2k,0,0,6.376820287999863,0.4927794412825006,14.118653594495234
40,2680,"ILSVRC2012_val_00030069.8_50,40.j2k",395,-395,6.73075575300004,0.6054773013406265,11.511403697651168
41,2681,"ILSVRC2012_val_00000067.1_25,20.j2k",0,0,7.2009737019998274,0.6106986380613272,11.808775007145385
42,2682,"ILSVRC2012_val_00000094.2_10,5,1.j2k",0,1,6.593319789999896,0.9131925082235618,13.422683487621756
